Song,Type,Cover Artist,Total Plays,First Played,First Venue,First City,Last Played,Last Venue,Last City,Shows Played,Shows Since Last Play,Gap Status,Previous Gap,Average Shows Between Plays,Longest Gap,Venues Played,Cities Played
"All Night Long (All Night)","Cover","Lionel Richie",1,"12/13/2023","Blue Point Brewery","Patchogue","12/13/2023","Blue Point Brewery","Patchogue",1,98,"Monster Gap",0,0,0,1,1
"American Girl jam","Original","",1,"07/11/2026","The Lemon Squeeze","New Paltz","07/11/2026","The Lemon Squeeze","New Paltz",1,5,"Regular",0,0,0,1,1
"Another Brick in the Wall, Part 1","Cover","Pink Floyd",1,"10/31/2024","Sayville Theater","Sayville","10/31/2024","Sayville Theater","Sayville",1,62,"Monster Gap",0,0,0,1,1
"Another Brick in the Wall, Part 2","Cover","Pink Floyd",1,"10/31/2024","Sayville Theater","Sayville","10/31/2024","Sayville Theater","Sayville",1,62,"Monster Gap",0,0,0,1,1
"Another Brick in the Wall, Part 3","Cover","Pink Floyd",1,"10/31/2024","Sayville Theater","Sayville","10/31/2024","Sayville Theater","Sayville",1,62,"Monster Gap",0,0,0,1,1
"Another Jam","Original","",1,"09/06/2024","89 North","Patchogue","09/06/2024","89 North","Patchogue",1,68,"Monster Gap",0,0,0,1,1
"Another One Bites the Dust","Cover","Queen",1,"10/22/2024","Blue Point Brewery","Patchogue","10/22/2024","Blue Point Brewery","Patchogue",1,63,"Monster Gap",0,0,0,1,1
"Aunt Rachel","Original","",1,"01/27/2024","Blue Point Brewery","Patchogue","01/27/2024","Blue Point Brewery","Patchogue",1,95,"Monster Gap",0,0,0,1,1
"Back on the Train","Cover","Phish",1,"09/07/2024","H.O.G. Farm","Brookhaven","09/07/2024","H.O.G. Farm","Brookhaven",1,67,"Monster Gap",0,0,0,1,1
"Backwards Down the Number Line","Cover","Phish",1,"03/29/2023","Blue Point Brewery","Patchogue","03/29/2023","Blue Point Brewery","Patchogue",1,125,"Monster Gap",0,0,0,1,1
"Bathtub Gin","Cover","Phish",1,"05/08/2026","Blue Point Brewery","Patchogue","05/08/2026","Blue Point Brewery","Patchogue",1,11,"Regular",0,0,0,1,1
"Blaze On","Cover","Phish",1,"08/30/2024","Blue Point Brewery","Patchogue","08/30/2024","Blue Point Brewery","Patchogue",1,70,"Monster Gap",0,0,0,1,1
"Blister in the Sun","Cover","Violent Femmes",1,"05/20/2023","Blue Point Brewery","Patchogue","05/20/2023","Blue Point Brewery","Patchogue",1,119,"Monster Gap",0,0,0,1,1
"Bongos Tuning","Original","",1,"09/29/2025","89 North","Patchogue","09/29/2025","89 North","Patchogue",1,31,"Bust Out",0,0,0,1,1
